chars,occurrence
DEAGOL,3
SMEAGOL,49
(GOLLUM,1
FRODO,225
MERRY,137
GIMLI,116
GOLLUM,133
SAM,216
GANDALF,204
ARAGORN,185
PIPPIN,163
HOBBIT,3
ROSIE,2
BILBO,46
TREEBEARD,46
SARUMAN,33
THEODEN,110
GALADRIL,1
ELROND,29
GRIMA,25
FRODO VOICE OVER,2
WITCH KING,8
EOWYN,56
FARAMIR,65
ORC,22
 GANDALF,1
SOLDIERS ON GATE,1
GOTHMOG,14
GENERAL,2
CAPTAIN,2
SOLDIER,36
MOUTH OF SAURON,5
EOMER,36
ARMY,2
BOSON,1
MERCENARY,1
EOWYN/MERRY,1
DENETHOR,45
ROHIRRIM,2
GALADRIEL VOICEOVER,1
LEGOLAS,55
GALADRIEL,3
KING OF THE DEAD,8
GRIMBOLD,1
IROLAS,3
ORCS,3
GAMLING,15
MADRIL,7
DAMROD,2
SOLDIERS,1
SOLDIERS IN MINAS TIRITH,1
GANDALF VOICEOVER,4
SOLDIER 1,1
SOLDIER 2,1
WOMAN,3
HALDIR,7
SAM VOICEOVER,1
OLD MAN,1
BOROMIR,40
CROWD,3
ARWEN,39
ELROND VOICEOVER,2
ARWEN VOICEOVER,1
ARAGORN ,2
HAMA,6
SHARKU,1
PEOPLE,2
LADY,1
FREDA,3
MORWEN,5
EYE OF SAURON,1
ROHAN STABLEMAN,1
GORBAG,3
ARGORN,2
GANDALF VOICE OVER,5
BOROMIR ,1
UGLUK,9
SHAGRAT,9
SARUMAN VOICE OVER,4
SARUMAN VOICE OVER ,1
FRODO ,1
URUK-HAI,1
SNAGA,2
GRISHNAKH,4
MERRY and PIPPIN,3
WILDMAN,3
STRIDER,25
GALADRIEL VOICE-OVER,2
EOTHAIN,1
ROHAN HORSEMAN,2
SAURON VOICE,2
SAM ,1
FRODO VOICE,1
GALADRIEL VOICE OVER,12
FARMER MAGGOT,1
WHITE WIZARD,1
MERRY AND PIPPIN,2
GAFFER,3
NOAKES,1
SANDYMAN,2
FIGWIT,1
GENERAL SHOUT,1
GRISHNAK,1
URUK HAI,5
SARUMAN VOICEOVER,3
MRS BRACEGIRDLE,1
BILBO VOICEOVER,2
PROUDFOOT HOBBIT,1
GATEKEEPER,2
GATEKEEPR,1
MAN,1
CHILDREN HOBBITS,3
BARLIMAN,4
RING,1
MEN,1
VOICE,2
SAURON,1
GAN DALF,1
