year,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
1950,39,42,65,8,187,92,48,239,85,10,51,18,11,3,47,28,29,3,0,55,8,150,11,6,15,20,70
1951,42,51,59,9,154,74,61,262,77,14,36,15,16,11,32,32,24,4,0,65,17,129,13,11,22,23,54
1952,40,65,55,16,174,57,67,264,72,18,29,11,14,6,40,30,23,7,0,63,10,128,9,8,19,20,60
1953,49,74,50,16,170,87,78,273,67,19,30,9,23,10,29,34,18,6,1,76,25,153,9,7,18,34,67
1954,36,81,63,14,166,72,74,266,85,23,24,9,18,14,26,31,27,6,1,62,24,150,11,4,19,15,59
1955,48,66,55,21,189,95,99,327,76,16,33,8,23,17,24,33,20,4,1,80,18,177,8,4,15,31,73
1956,45,71,48,18,150,75,100,321,74,17,31,15,22,21,33,33,20,4,1,76,32,155,14,10,23,36,78
1957,65,82,59,25,188,103,96,377,77,24,19,15,19,43,72,40,24,5,1,101,35,158,21,13,29,33,86
1958,61,67,37,11,154,82,76,356,57,27,10,12,13,59,70,29,25,3,0,103,40,107,6,11,33,41,67
1959,68,75,50,16,172,108,93,385,61,28,1,7,20,39,66,30,30,10,0,73,33,133,2,15,43,45,63
1960,41,57,30,16,173,93,84,352,62,20,0,4,19,38,40,19,28,6,1,62,16,109,6,11,31,39,50
1961,70,65,45,15,166,73,78,345,49,23,0,7,19,38,31,20,24,5,0,55,25,117,4,8,43,39,29
1962,86,87,38,11,191,69,85,362,52,28,0,6,28,45,30,28,25,3,1,56,19,132,9,5,36,45,23
1963,88,67,36,12,207,68,95,350,59,27,0,4,28,50,27,29,32,5,1,69,29,112,6,2,31,39,21
1964,105,82,43,16,208,73,108,316,56,29,0,3,28,44,33,47,26,9,2,63,19,147,9,1,47,50,38
1965,119,87,67,11,207,56,80,351,68,27,0,10,23,39,36,34,34,7,0,77,36,145,5,2,65,57,46
1966,123,88,71,9,210,73,94,320,65,28,0,3,18,37,25,40,21,2,0,77,53,166,6,5,48,41,57
1967,83,88,81,11,196,86,103,332,62,29,0,6,14,39,30,39,36,2,0,75,34,155,7,10,61,31,66
1968,90,86,52,6,214,96,115,398,35,35,0,4,18,54,44,30,29,9,0,84,35,135,13,3,56,46,68
1969,109,85,67,13,205,87,106,430,62,27,0,5,20,46,31,24,21,2,0,80,18,153,14,3,58,40,35
1970,97,66,45,18,211,55,88,418,58,36,0,4,20,76,38,24,26,5,0,79,26,104,13,5,53,38,43
1971,88,64,52,18,243,93,104,418,56,28,0,5,16,78,28,18,52,2,2,55,25,122,12,4,80,28,58
1972,115,69,49,18,228,107,90,421,68,23,0,5,25,101,32,23,54,5,0,66,33,104,15,3,86,20,54
1973,141,72,61,27,228,148,80,472,69,28,0,5,21,103,25,19,43,1,0,66,30,96,19,1,95,29,34
1974,135,65,49,26,242,125,106,458,71,44,0,10,35,96,34,21,47,1,1,65,22,106,12,2,99,18,27
1975,95,81,54,32,227,115,100,408,63,26,0,12,32,62,34,16,47,1,3,45,24,122,13,3,76,23,34
1976,117,70,68,26,221,122,99,436,105,39,0,10,30,76,24,19,32,4,0,59,27,112,11,7,75,22,31
1977,119,96,75,33,233,82,90,408,90,36,0,6,17,73,41,18,37,3,0,55,46,114,17,5,70,21,10
1978,118,81,90,28,232,82,109,443,80,31,0,5,34,73,37,29,39,3,3,56,41,124,20,7,77,23,20
1979,132,88,85,23,250,70,95,456,90,37,0,6,28,69,45,13,32,6,2,68,54,99,18,1,57,27,14
1980,113,82,77,34,244,84,90,440,76,34,0,3,24,85,47,21,38,5,3,73,41,92,10,5,78,18,8
1981,104,84,82,32,224,67,95,408,93,44,0,6,35,106,50,12,40,4,3,71,48,102,14,1,70,25,9
1982,112,77,78,28,248,70,102,424,105,42,0,7,25,98,47,25,41,7,2,71,52,85,11,7,63,23,8
1983,113,84,84,32,283,86,126,451,97,46,0,10,33,79,60,23,42,5,1,76,56,98,11,5,62,25,7
1984,147,79,83,29,273,83,95,435,111,52,0,15,25,76,89,22,41,7,1,85,60,102,22,8,68,14,5
1985,149,117,114,35,312,108,120,429,114,62,0,10,30,87,70,23,40,6,1,91,54,96,14,7,79,30,7
1986,159,110,109,37,314,110,126,444,101,54,0,8,21,113,54,21,41,4,1,74,72,114,20,7,81,19,8
1987,205,115,126,33,363,129,130,512,117,74,0,9,21,120,65,24,48,12,4,97,81,125,21,13,114,28,6
1988,208,92,113,31,348,119,127,483,99,62,0,12,30,157,59,23,46,8,2,92,59,125,24,6,118,41,10
1989,218,109,100,36,342,162,119,469,96,70,0,8,31,132,66,14,52,4,1,82,59,129,21,8,139,32,7
1990,208,114,92,33,366,135,118,436,97,69,0,13,27,117,63,21,39,8,2,72,52,133,17,5,104,22,10
1991,181,105,118,30,330,116,132,444,104,77,0,8,28,92,63,19,44,5,3,84,68,129,10,8,107,13,8
1992,199,103,97,25,340,121,132,481,110,71,0,9,25,89,67,7,42,9,4,105,55,124,29,12,127,18,7
1993,232,135,103,49,338,145,145,510,117,68,0,10,40,89,56,20,50,5,2,103,73,152,25,10,138,18,12
1994,222,152,109,45,382,125,179,510,122,89,0,8,30,71,56,16,64,8,2,112,67,167,38,11,127,19,14
1995,251,164,106,42,367,141,164,561,124,83,0,9,35,79,46,22,60,5,7,126,84,146,21,6,148,25,16
1996,209,162,107,45,404,147,160,542,134,78,0,8,37,96,51,18,67,10,8,118,86,145,32,12,135,17,4
1997,224,168,115,35,418,158,146,584,109,81,0,11,35,80,45,14,74,4,5,137,91,163,25,16,159,25,5
1998,215,185,134,49,457,176,192,630,134,77,0,14,33,96,68,8,80,7,14,163,91,180,24,14,172,27,7
1999,231,147,135,49,526,143,201,670,167,84,0,12,48,108,68,20,60,5,7,207,103,170,36,11,164,25,14
2000,243,160,140,62,553,203,218,764,148,97,0,18,52,123,89,20,77,8,24,233,83,198,31,5,183,29,12
2001,257,176,134,46,630,210,249,837,132,96,0,16,39,133,75,28,105,4,25,245,77,209,38,9,168,39,5
2002,289,183,131,59,590,203,279,872,137,84,0,18,46,161,72,19,107,7,28,275,91,213,34,15,192,36,10
2003,350,221,178,56,695,215,306,864,169,103,0,22,70,146,92,28,100,8,41,233,84,210,37,13,176,31,11
2004,293,195,161,56,713,195,281,929,131,83,0,14,45,210,93,19,115,4,48,272,92,250,52,12,195,50,5
2005,293,188,145,75,741,208,292,998,138,98,0,15,53,231,97,31,143,11,55,277,90,215,52,11,205,28,9
2006,291,183,164,59,764,234,269,1085,135,90,0,15,64,246,79,29,125,5,60,296,87,206,62,8,285,36,8
2007,296,163,147,73,746,265,280,1116,146,105,0,15,66,258,79,34,143,9,65,295,85,204,55,16,297,36,7
2008,329,196,165,85,743,240,272,1122,139,101,0,23,61,257,82,21,138,6,79,284,114,192,48,9,243,37,11
2009,362,199,158,79,830,270,271,1128,145,113,0,19,76,272,85,33,158,16,61,291,120,225,37,20,304,41,13
2010,424,188,185,97,823,271,267,1146,140,120,0,9,73,275,66,27,125,12,78,300,121,286,42,14,303,29,11
2011,407,211,174,86,882,253,285,1249,159,138,0,4,76,263,79,21,139,10,90,295,159,275,40,22,326,42,14
