Names,URL
Aceh,https://wikipedia.org/wiki/Aceh
Afghanistan,https://wikipedia.org/wiki/Afghanistan
Bahrain,https://wikipedia.org/wiki/Bahrain
Bangladesh,https://wikipedia.org/wiki/Bangladesh
Bihar,https://wikipedia.org/wiki/Bihar
Brunei,https://wikipedia.org/wiki/Brunei
Djibouti,https://wikipedia.org/wiki/Djibouti
Gujarat,https://wikipedia.org/wiki/Gujarat
Iran,https://wikipedia.org/wiki/Iran
Kuwait,https://wikipedia.org/wiki/Kuwait
Lakshadweep,https://wikipedia.org/wiki/Lakshadweep
Libya,https://wikipedia.org/wiki/Libya
Maldives,https://wikipedia.org/wiki/Maldives
Mauritania,https://wikipedia.org/wiki/Mauritania
Mizoram,https://wikipedia.org/wiki/Mizoram
Nagaland,https://wikipedia.org/wiki/Nagaland
Pakistan,https://wikipedia.org/wiki/Pakistan
Qatar,https://wikipedia.org/wiki/Qatar
Saudi Arabia,https://wikipedia.org/wiki/Saudi_Arabia
Somalia,https://wikipedia.org/wiki/Somalia
South Africa,https://wikipedia.org/wiki/South_Africa
Sudan,https://wikipedia.org/wiki/Sudan
United Arab Emirates,https://wikipedia.org/wiki/United_Arab_Emirates
Yemen,https://wikipedia.org/wiki/Yemen
